antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,consequent_is_method,antecedents_str,consequents_str,n_antecedents,method,consequent_baseline
frozenset({'has_shared_12_digit_id'}),frozenset({'method_keywords'}),0.506291107,0.581498427,0.4894,0.9667,1.6624,1,0.195,12.5586,0.807066201,0.817921147,0.920373251,0.904164202,True,has_shared_12_digit_id,method_keywords,1,keywords,0.5815
frozenset({'prefix_combo_afsf_ctsf'}),frozenset({'method_keywords'}),0.093937661,0.581498427,0.0725,0.7717,1.3271,1,0.0179,1.833,0.272012871,0.12022765,0.454457242,0.448175705,True,prefix_combo_afsf_ctsf,method_keywords,1,keywords,0.5815
frozenset({'pattern_dr_contract_payment_simple_cr_contract_payment_simple'}),frozenset({'method_keywords'}),0.186445525,0.581498427,0.1799,0.9647,1.659,1,0.0715,11.8636,0.488275249,0.30585947,0.915708624,0.637021417,True,pattern_dr_contract_payment_simple_cr_contract_payment_simple,method_keywords,1,keywords,0.5815
frozenset({'has_shared_15_digit_id'}),frozenset({'method_keywords'}),0.498713183,0.581498427,0.482,0.9665,1.662,1,0.192,12.4764,0.794593089,0.805688337,0.919848383,0.897661454,True,has_shared_15_digit_id,method_keywords,1,keywords,0.5815
frozenset({'pattern_dr_contract_payment_simple_cr_noise'}),frozenset({'method_keywords'}),0.040320275,0.581498427,0.0367,0.9113,1.5672,1,0.0133,4.7207,0.377142049,0.062805474,0.788166908,0.48726953,True,pattern_dr_contract_payment_simple_cr_noise,method_keywords,1,keywords,0.5815
frozenset({'pattern_dr_police_admin_payment_canonical_cr_police_admin_payment_canonical'}),frozenset({'method_keywords'}),0.172862454,0.581498427,0.1689,0.9768,1.6799,1,0.0683,18.0703,0.489295874,0.288400488,0.944660576,0.633613199,True,pattern_dr_police_admin_payment_canonical_cr_police_admin_payment_canonical,method_keywords,1,keywords,0.5815
frozenset({'pattern_dr_police_admin_payment_with_date_cr_police_admin_payment_canonical'}),frozenset({'method_keywords'}),0.020875036,0.581498427,0.0206,0.9863,1.6961,1,0.0085,30.5506,0.419175509,0.035389531,0.967267435,0.510854152,True,pattern_dr_police_admin_payment_with_date_cr_police_admin_payment_canonical,method_keywords,1,keywords,0.5815
frozenset({'prefix_combo_ctsf_sbs'}),frozenset({'method_keywords'}),0.496854447,0.581498427,0.4773,0.9606,1.6519,1,0.1883,10.6153,0.784336456,0.794005709,0.905796148,0.890663968,True,prefix_combo_ctsf_sbs,method_keywords,1,keywords,0.5815
frozenset({'pattern_dr_noise_cr_interbank_pipe_fx_value_same_day'}),frozenset({'method_one_one_sogd_prefix'}),0.048327138,0.27852445,0.0483,1,3.5903,1,0.0349,inf,0.758112981,0.173511294,1,0.586755647,True,pattern_dr_noise_cr_interbank_pipe_fx_value_same_day,method_one_one_sogd_prefix,1,one_one_sogd_prefix,0.2785
frozenset({'pattern_dr_interbank_pipe_fx_value_same_day_cr_treasury_xnmb_pgd'}),frozenset({'method_one_one_sogd_prefix'}),0.035601945,0.27852445,0.0356,1,3.5903,1,0.0257,inf,0.748109711,0.127823409,1,0.563911704,True,pattern_dr_interbank_pipe_fx_value_same_day_cr_treasury_xnmb_pgd,method_one_one_sogd_prefix,1,one_one_sogd_prefix,0.2785
frozenset({'pattern_dr_interbank_pipe_fx_value_same_day_cr_treasury_hcm_fx_mbnt'}),frozenset({'method_one_one_sogd_prefix'}),0.022304833,0.27852445,0.0223,1,3.5903,1,0.0161,inf,0.737935069,0.080082136,1,0.540041068,True,pattern_dr_interbank_pipe_fx_value_same_day_cr_treasury_hcm_fx_mbnt,method_one_one_sogd_prefix,1,one_one_sogd_prefix,0.2785
frozenset({'pattern_dr_treasury_xnmb_pgd_cr_interbank_pipe_fx_value_same_day'}),frozenset({'method_one_one_sogd_prefix'}),0.033743208,0.27852445,0.0337,1,3.5903,1,0.0243,inf,0.746670613,0.121149897,1,0.560574949,True,pattern_dr_treasury_xnmb_pgd_cr_interbank_pipe_fx_value_same_day,method_one_one_sogd_prefix,1,one_one_sogd_prefix,0.2785
frozenset({'pattern_dr_loan_settlement_hdtg_shbfc_cr_interbank_pipe_mm_treasury'}),frozenset({'method_one_one_sogd_prefix'}),0.025021447,0.27852445,0.025,1,3.5903,1,0.0181,inf,0.739991201,0.089835729,1,0.544917864,True,pattern_dr_loan_settlement_hdtg_shbfc_cr_interbank_pipe_mm_treasury,method_one_one_sogd_prefix,1,one_one_sogd_prefix,0.2785
frozenset({'pattern_dr_interbank_pipe_mm_treasury_cr_loan_settlement_hdtg_shbfc'}),frozenset({'method_one_one_sogd_prefix'}),0.021160995,0.27852445,0.0212,1,3.5903,1,0.0153,inf,0.737072743,0.075975359,1,0.53798768,True,pattern_dr_interbank_pipe_mm_treasury_cr_loan_settlement_hdtg_shbfc,method_one_one_sogd_prefix,1,one_one_sogd_prefix,0.2785
frozenset({'has_sogd_base_in_partner_remarks'}),frozenset({'method_refno_in_custremarks'}),0.057477838,0.063911925,0.0563,0.9801,15.3352,1,0.0527,47.0384,0.991796702,0.865934066,0.978740785,0.930765635,True,has_sogd_base_in_partner_remarks,method_refno_in_custremarks,1,refno_in_custremarks,0.0639
frozenset({'is_base_reversal'}),frozenset({'method_same_sogd'}),0.031312554,0.03302831,0.0313,1,30.2771,1,0.0303,inf,0.998228782,0.948051948,1,0.974025974,True,is_base_reversal,method_same_sogd,1,same_sogd,0.033
