cluster_id,cluster_name,n_total_transactions,top_terms,human_name
-1,noise,2103,"numid, gttt numid, gttt, hd, qlhc, gn theo, gn, cs, qlhc ve, cuc cs",
42,cluster_42,1127,"stk, thu phi, phi, uy quyen, uy, phi uy, quyen stk, thu, quyen, nop",
16,cluster_16,871,"fx value, same day, same, value same, fx, value, day pipe, pipe, vnd amt, pipe vnd",
14,cluster_14,839,"vnd amt, pipe vnd, pipe, vnd, amt numid, numid ngan, amt, numid, ngan hang, tnhh",
30,cluster_30,822,"toan hd, numid cua, numid thanh, hd so, thanh toan, cua kh, numid, so numid, cua, so",
15,cluster_15,664,"same, fx, fx value, same day, value same, value, day pipe, pipe vnd, pipe, vnd amt",
20,cluster_20,577,"amt pgd, shb tl, tl, amt, tg, tg amt, ban amt, tl ban, amt theo, pgd",
31,cluster_31,432,"numid cua, toan hd, numid thanh, hd so, thanh toan, cua kh, numid, so numid, cua, so",
33,cluster_33,327,"hdtg, shb, numid hdtg, hdtg so, shbfc, so numid, tien theo, so, tat toan, tat",
49,cluster_49,313,"numid, gn theo, gn, qlhc ve, cn amt, qlhc, ve ttxh, amt nc, cs, cuc cs",
1,cluster_01,291,"nc bo, bo cong, cong an, an gn, bo, numid, gn, gn theo, cn amt, numid cn",
63,cluster_63,281,"numid, toan hd, numid thanh, thanh toan, hd so, numid cua, so numid, thanh, toan, cua kh",
59,cluster_59,263,"numid, gn theo, gn, cn amt, numid nguyen, amt nc, numid cn, nc, theo hd, qlhc",
9,cluster_09,261,"hop dong, dong so, hop, numid cua, numid, thanh toan, cua kh, numid thanh, so numid, cua",
56,cluster_56,257,"numid, qlhc ve, cs qlhc, ve ttxh, cs, cuc cs, ttxh gn, ttxh, qlhc, nc cuc",
17,cluster_17,247,"shb hai, theo xnmbnt, xnmbnt, tien theo, amt pgd, hai phong, pgd, thu tien, phong thu, shb",
47,cluster_47,242,"numid, cs qlhc, qlhc ve, ve ttxh, cs, cuc cs, ttxh gn, qlhc, ttxh, nc cuc",
5,cluster_05,216,"truong cuc, sat quan, cuc canh, cuc truong, canh sat, sat, quan ly, cuc, hoi, canh",
21,cluster_21,214,"mbnt, hcm, xac nhan, xac, gd, pgd, ngay amt, amt shb, ban, shb",
64,cluster_64,187,"numid, numid cua, toan hd, numid thanh, thanh toan, cua kh, cua, hd so, so numid, kh nguyen",
18,cluster_18,184,"numid, toan hd, numid thanh, van, thanh toan, numid cua, hd so, so numid, cua, cua kh",
10,cluster_10,163,"numid, numid tran, tran, gn, gn theo, numid cn, nc, qlhc, qlhc ve, cn amt",
32,cluster_32,150,"shs, hdtp shb, hdtp, numid hdtp, shb shs, shb, shs ngay, date va, pl, ngay date",
13,cluster_13,145,"numid tran, numid, cs qlhc, cs, cuc cs, ve ttxh, qlhc ve, ttxh gn, ttxh, qlhc",
34,cluster_34,138,"numid cua, toan hd, numid thanh, hd so, cua kh, thanh toan, numid, so numid, cua, van",
38,cluster_38,105,"numid, tt hd, numid tt, tt, numid cua, gttt, gttt numid, so numid, cua, hd so",
36,cluster_36,104,"bao mat, mat, phi bao, mat stk, bao, stk, phi, thu phi, nop, nop tien",
19,cluster_19,102,"kh pham, numid cua, toan hd, numid thanh, hd so, cua kh, thanh toan, numid, so numid, pham",
60,cluster_60,100,"numid, gn, gn theo, numid cn, theo hd, nc, qlhc, cn, hd numid, theo",
57,cluster_57,100,"dieu chinh, but toan, but, toan, chinh, hach, hach toan, dieu, chinh but, bt",
28,cluster_28,99,"numid, cs, cs qlhc, qlhc ve, cuc cs, ve ttxh, van, ttxh gn, qlhc, ttxh",
62,cluster_62,99,"numid, numid cua, toan hd, numid thanh, hd so, so numid, thanh toan, cua kh, cua, kh tran",
51,cluster_51,91,"numid, cuc cs, cs, qlhc ve, cs qlhc, ve ttxh, qlhc, ttxh gn, ttxh, nc cuc",
65,cluster_65,90,"toan hd, numid, numid thanh, thanh toan, toan, thanh, gttt, gttt numid, hd, numid kh",
24,cluster_24,89,"dong the, truoc nam, phi dong, truoc, the, the td, td, phi, lc, nam",
12,cluster_12,87,"earned for, account no, interest earned, for deposit, deposit account, earned, deposit, interest, for, account",
22,cluster_22,87,"amt, hdmb, theo hdmb, cn lao, lao cai, tg, tg amt, cai, shb cn, lao",
2,cluster_02,87,"numid, kh pham, toan hd, pham, numid thanh, thanh toan, numid cua, hd so, cua kh, cua",
6,cluster_06,87,"application, tide application, earned, earned for, deposit, for deposit, tide, interest earned, deposit account, account no",
35,cluster_35,86,"nguyen van, numid cua, toan hd, numid thanh, hd so, cua kh, thanh toan, numid, so numid, cua",
58,cluster_58,85,"thu phi, phi, phi chuyen, chuyen, chuyen tien, thu, tien, bt, but toan, but",
8,cluster_08,80,"of, account, to, fin0783555, fin0783557, fin0785145, fin0785999, fin0786001, fin0786004, fin0786006",
29,cluster_29,79,"numid, van, cs, cuc cs, qlhc ve, ve ttxh, cs qlhc, ttxh gn, qlhc, ttxh",
43,cluster_43,79,"numid, nguyen van, van, gn, gn theo, numid cn, nc, theo hd, qlhc, numid nguyen",
25,cluster_25,78,"kiem dem, dem, bt, thu phi, phi kiem, phi, ck, kiem, thu, truong dinh",
26,cluster_26,78,"numid, van, gn theo, gn, cs, cuc cs, numid cn, cs qlhc, qlhc ve, ve ttxh",
61,cluster_61,76,"numid, gn, gn theo, qlhc, qlhc ve, numid cn, cuc cs, ve ttxh, cs, cs qlhc",
41,cluster_41,68,"numid, pham, numid pham, gn, gn theo, qlhc, cs qlhc, cs, cuc cs, qlhc ve",
53,cluster_53,64,"rut, rut tien, tien dong, dong, dong tai, tai khoan, tien, khoan, tai, bt",
23,cluster_23,57,"kh huynh, numid cua, toan hd, numid thanh, hd so, cua kh, thanh toan, numid, so numid, huynh",
0,cluster_00,54,"toan stk, tat toan, tat, stk, thi oanh, vu thi, oanh, vu, toan, thi",
39,cluster_39,54,"numid pham, numid, pham, ve ttxh, cs qlhc, cs, qlhc ve, cuc cs, ttxh, qlhc",
4,cluster_04,52,"cuc canh, truong cuc, cuc, cuc truong, canh sat, sat, numid, canh, gn, gn theo",
54,cluster_54,49,"numid, nc, numid cn, gn, gn theo, nc cuc, ttxh, ve ttxh, qlhc ve, qlhc",
52,cluster_52,47,"numid, numid phan, gn theo, gn, qlhc, qlhc ve, numid cn, cn amt, amt nc, nc",
45,cluster_45,44,"hoan tra, cv, hoan, khong, cung, cap, tgd, cv tgd, tra, cv239",
48,cluster_48,44,"numid huynh, numid, huynh, ve ttxh, cs, cs qlhc, qlhc ve, cuc cs, ttxh gn, qlhc",
11,cluster_11,44,"interest earned, earned, earned for, for deposit, account no, deposit account, deposit, for, interest, account",
3,cluster_03,43,"tt hd, tt, kh, hd, hd numid, numid, kh numid, numid tt, pd0400t096865, kh pd0400t096865",
44,cluster_44,43,"numid, van, numid cn, gn, gn theo, qlhc, cn amt, nc, amt nc, theo hd",
46,cluster_46,41,"numid, cs, cuc cs, qlhc ve, ve ttxh, cs qlhc, ttxh gn, qlhc, ttxh, nc cuc",
7,cluster_07,39,"loan gttt, loan, numid, gn theo, gn, qlhc, qlhc ve, cn amt, cs qlhc, cs",
27,cluster_27,38,"numid, gn, gn theo, kim, numid cn, qlhc, cn amt, thi kim, theo hd, nc",
40,cluster_40,35,"numid phan, numid, qlhc ve, ve ttxh, cuc cs, cs qlhc, cs, ttxh gn, qlhc, ttxh",
37,cluster_37,34,"numid, cs qlhc, cs, ve ttxh, cuc cs, qlhc ve, ttxh gn, ttxh, qlhc, nc cuc",
50,cluster_50,34,"numid, gn theo, gn, qlhc, numid cn, cuc cs, cs, nc, minh, theo hd",
55,cluster_55,32,"numid, qlhc ve, cuc cs, cs qlhc, ve ttxh, cs, ttxh gn, qlhc, ttxh, nc cuc",
